,totalScore,location/lat,location/lng
125,4.4,19.6733989,-99.1622017
126,4.0,19.608231,-99.1737073
127,3.9,19.832119,-99.204677
128,4.0,19.8423577,-99.2403526
129,3.8,18.8220037,-98.9489852
130,4.0,19.5403403,-99.1541484
131,3.9,19.4962911,-99.1847266
132,4.6,19.6295912,-99.2870683
133,3.8,19.4921906,-99.2138926
134,4.1,19.470535,-99.2111919
135,2.6,19.5348991,-99.184927
136,4.0,19.3808039,-99.1430318
137,3.9,19.5220099,-99.0835252
138,3.7,19.477808,-99.1435854
139,,19.3517905,-99.2868446
140,4.1,19.5304386,-99.1696404
141,3.3,19.6208361,-99.3140153
142,3.9,19.5486153,-99.1350558
143,4.2,19.5201264,-99.1082551
144,4.2,19.3872561,-99.2130737
145,4.1,19.5416462,-99.2323858
146,4.1,19.5354464,-99.2381635
147,3.9,19.5206636,-99.2331747
148,4.1,19.5716321,-99.2539638
149,4.1,19.5952513,-99.0477363
150,3.1,18.883422,-98.8645591
151,4.3,19.2557925,-99.1052571
152,4.2,19.2644841,-99.1039518
153,3.6,19.303393,-99.0728278
154,4.0,19.3990802,-99.0413394
155,4.0,19.3705705,-99.0746627
156,3.7,19.3416634,-99.0195958
157,4.1,19.4677673,-99.0492199
158,4.7,19.2799843,-99.1698441
159,3.9,19.2678361,-99.0044959
160,,19.3456797,-99.2711895
161,5.0,19.3438779,-99.2859645
162,,19.2255835,-99.200099
163,3.4,19.1319153,-99.182788
164,4.3,19.2329388,-99.1801002
165,2.6,19.299555,-99.041467
166,4.5,19.6198114,-99.1994837
167,4.0,19.498459,-99.0796794
168,4.1,19.5439914,-99.0962975
169,3.9,19.5176186,-99.064978
170,,19.5490119,-99.1245214
171,,19.7469068,-99.1876874
172,4.1,19.4379087,-99.1639961
173,3.6,19.5437905,-99.1375761
174,3.8,19.5614132,-99.1397086
175,4.2,19.6802839,-99.1428374
176,1.0,19.5145786,-99.2029127
177,4.0,19.558943,-99.2032528
178,4.1,19.4819456,-99.0719115
179,3.4,19.5451975,-99.1176418
180,4.2,19.5403902,-99.2390795
181,4.6,19.617803,-99.196386
182,2.9,19.5717334,-99.2538291
183,,19.8345034,-99.2037545
184,4.4,19.4984488,-99.2533267
185,4.8,19.576213,-99.2313863
186,5.0,19.6206577,-99.3138343
187,3.0,19.5354484,-99.2381435
188,,20.0564722,-98.7561219
189,4.0,19.5934956,-98.998361
190,4.3,19.7780083,-99.1122562
