,totalScore,location/lat,location/lng
125,4.2,19.4790537,-99.1192159
126,4.2,19.500587,-99.041797
127,4.4,19.6733989,-99.1622017
128,4.0,19.608231,-99.1737073
129,3.9,19.832119,-99.204677
130,4.0,19.8423577,-99.2403526
131,3.8,18.8220037,-98.9489852
132,4.0,19.5403403,-99.1541484
133,3.9,19.4962911,-99.1847266
134,4.6,19.6295912,-99.2870683
135,3.8,19.4921906,-99.2138926
136,4.1,19.470535,-99.2111919
137,2.6,19.5348991,-99.184927
138,4.0,19.3808039,-99.1430318
139,3.9,19.5220099,-99.0835252
140,3.7,19.477808,-99.1435854
141,,19.3517905,-99.2868446
142,4.1,19.5304386,-99.1696404
143,3.3,19.6208361,-99.3140153
144,3.9,19.5486153,-99.1350558
145,4.2,19.5201264,-99.1082551
146,4.2,19.3872561,-99.2130737
147,4.1,19.5416462,-99.2323858
148,4.1,19.5354464,-99.2381635
149,3.9,19.5206636,-99.2331747
150,4.1,19.5716321,-99.2539638
151,4.1,19.5952513,-99.0477363
152,3.1,18.883422,-98.8645591
153,1.5,18.9074242,-98.9703592
154,4.3,19.2557925,-99.1052571
155,4.2,19.2644841,-99.1039518
156,3.6,19.303393,-99.0728278
157,4.0,19.3990802,-99.0413394
158,4.0,19.3705705,-99.0746627
159,3.7,19.3416634,-99.0195958
160,4.1,19.4677673,-99.0492199
161,4.7,19.2799843,-99.1698441
162,3.9,19.2678361,-99.0044959
163,,19.3456797,-99.2711895
164,5.0,19.3438779,-99.2859645
165,,19.2255835,-99.200099
166,3.4,19.1319153,-99.182788
167,4.3,19.2329388,-99.1801002
168,,19.2203619,-99.2165041
169,2.6,19.299555,-99.041467
170,4.5,19.6198114,-99.1994837
171,4.0,19.498459,-99.0796794
172,4.1,19.5439914,-99.0962975
173,,19.7601188,-99.1474382
174,3.9,19.5176186,-99.064978
175,,19.5490119,-99.1245214
176,,19.7469068,-99.1876874
177,4.1,19.4379087,-99.1639961
178,3.6,19.5437905,-99.1375761
179,3.8,19.5614132,-99.1397086
180,4.2,19.6802839,-99.1428374
181,1.0,19.5145786,-99.2029127
182,4.0,19.558943,-99.2032528
183,4.1,19.4819456,-99.0719115
184,3.4,19.5451975,-99.1176418
185,4.2,19.5403902,-99.2390795
186,4.6,19.617803,-99.196386
187,2.9,19.5717334,-99.2538291
188,,19.8345034,-99.2037545
189,4.3,19.6291126,-99.2054932
190,4.5,19.6158987,-99.2007118
191,4.4,19.4984488,-99.2533267
192,4.8,19.576213,-99.2313863
193,5.0,19.6206577,-99.3138343
194,3.0,19.5354484,-99.2381435
195,4.1,19.7583893,-99.1949095
196,,23.5541269,-102.6205
197,,20.0564722,-98.7561219
198,4.0,19.5934956,-98.998361
199,4.3,19.7780083,-99.1122562
